GSIS_ID,PLAYER,TEAM,POS
00-0034407,Ray-Ray McCloud,BUF,WR
00-0030874,Damien Williams,KC,RB
00-0029319,Josh Bellamy,CHI,WR
00-0028292,Nick Bellore,DET,FB
00-0030443,Levine Toilolo,DET,TE
00-0028074,Anthony Sherman,KC,FB
00-0025944,Stephen Hauschka,BUF,KI
00-0028872,Johnny Hekker,LA,PU
00-0030112,Tommy Bohanon,JAX,FB
00-0033576,Eric Saubert,ATL,TE
00-0029068,Derrick Coleman,ARI,FB
00-0029249,Melvin Ingram,LAC,ED
00-0029414,Orson Charles,CLE,TE
00-0033559,Michael Roberts,DET,TE
00-0034201,De'Lance Turner,BAL,RB
00-0033379,Tim White,BAL,WR
00-0033572,Jamal Agnew,DET,CB
00-0034799,Kalen Ballage,MIA,RB
00-0029129,Rod Streater,CLE,WR
00-0029689,Dwayne Allen,NE,TE
00-0033296,Alex Armah,CAR,FB
00-0033968,Stacy Coley,MIN,WR
00-0030741,Roosevelt Nix,PIT,FB
00-0032472,Tre Madden,SEA,FB
00-0028063,Taiwan Jones,BUF,RB
00-0031763,DeAndre Carter,PHI,WR
00-0033132,Kevin Byard,TEN,SY
00-0027691,Andre Roberts,DET,WR
00-0034270,Tyler Conklin,MIN,TE
00-0031922,Khari Lee,BUF,TE
00-0033421,Antony Auclair,TB,TE
00-0034721,Corey Bojorquez,BUF,PU
00-0032404,Tyler Ervin,HOU,RB
00-0034798,Durham Smythe,MIA,TE
00-0028581,Patrick DiMarco,BUF,FB
00-0030737,Freddie Martino,TB,WR
00-0031595,Michael Burton,CHI,FB
00-0034162,JK Scott,GB,PU
00-0032745,Alan Cross,TB,TE
00-0033481,Marcus Kemp,KC,WR
00-0034560,J.J. Jones,LAC,WR
00-0024243,Marcedes Lewis,GB,TE
00-0034565,Detrez Newsome,LAC,RB
00-0032897,Derek Watt,LAC,FB
00-0030565,Geno Smith,LAC,QB
00-0034268,J'Mon Moore,GB,WR
